lawsuit_number,decision_type,judicial_secrecy,rapporteur,judging_body,district,judgment_date,publication_source_date,full_text
0078205-17.2026.8.16.0000,Acórdão,Not informed,Lourival Pedro Chemim,4ª Câmara Criminal,Not informed,No date,No date,"1.
0078205-17.2026.8.16.0000
 (Acórdão)

Relator:  Lourival Pedro Chemim
Juiz de Direito Substituto em Segundo Grau

Processo:
0078205-17.2026.8.16.0000


Órgão Julgador: 4ª Câmara Criminal
Data Julgamento: 27/07/2026"
0002809-16.2024.8.16.0061,Acórdão,Not informed,Fabiane Pieruccini,6ª Câmara Criminal,Not informed,No date,No date,"2.
0002809-16.2024.8.16.0061
 (Acórdão)

Relator:  Fabiane Pieruccini
Desembargadora

Processo:
0002809-16.2024.8.16.0061


Órgão Julgador: 6ª Câmara Criminal
Data Julgamento: 27/07/2026
Segredo de Justiça"
0002033-47.2026.8.16.0028,Acórdão,Not informed,Sérgio Luiz Kreuz,12ª Câmara Cível,Not informed,No date,No date,"3.
0002033-47.2026.8.16.0028
 (Acórdão)

Relator:  Sérgio Luiz Kreuz
Desembargador

Processo:
0002033-47.2026.8.16.0028


Órgão Julgador: 12ª Câmara Cível
Data Julgamento: 27/07/2026
Segredo de Justiça"
0000327-79.2026.8.16.0173,Acórdão,Not informed,Sérgio Luiz Kreuz,12ª Câmara Cível,Not informed,No date,No date,"4.
0000327-79.2026.8.16.0173
 (Acórdão)

Relator:  Sérgio Luiz Kreuz
Desembargador

Processo:
0000327-79.2026.8.16.0173


Órgão Julgador: 12ª Câmara Cível
Data Julgamento: 27/07/2026
Segredo de Justiça"
Not found,Not informed,Not informed,Not informed,Not informed,Not informed,No date,No date,"1. Caso: Barbosa de Souza e Outros Vs. Brasil (Sentença da Corte IDH)

Data Julgamento: 07/09/2021
i"
0000896-65.2025.8.16.0157,Acórdão,Not informed,Fabiane Pieruccini,6ª Câmara Criminal,Not informed,No date,No date,"5.
0000896-65.2025.8.16.0157
 (Acórdão)

Relator:  Fabiane Pieruccini
Desembargadora

Processo:
0000896-65.2025.8.16.0157


Órgão Julgador: 6ª Câmara Criminal
Data Julgamento: 27/07/2026
Segredo de Justiça"
0007515-60.2023.8.16.0131,Acórdão,Not informed,Eduardo Augusto Salomão Cambi,12ª Câmara Cível,Not informed,No date,No date,"6.
0007515-60.2023.8.16.0131
 (Acórdão)

Relator:  Eduardo Augusto Salomão Cambi
Desembargador

Processo:
0007515-60.2023.8.16.0131


Órgão Julgador: 12ª Câmara Cível
Data Julgamento: 27/07/2026
Segredo de Justiça"
0010645-47.2024.8.16.0188,Acórdão,Not informed,Eduardo Augusto Salomão Cambi,12ª Câmara Cível,Not informed,No date,No date,"7.
0010645-47.2024.8.16.0188
 (Acórdão)

Relator:  Eduardo Augusto Salomão Cambi
Desembargador

Processo:
0010645-47.2024.8.16.0188


Órgão Julgador: 12ª Câmara Cível
Data Julgamento: 27/07/2026
Segredo de Justiça"
0043004-61.2026.8.16.0000,Acórdão,Not informed,Eduardo Augusto Salomão Cambi,12ª Câmara Cível,Not informed,No date,No date,"8.
0043004-61.2026.8.16.0000
 (Acórdão)

Relator:  Eduardo Augusto Salomão Cambi
Desembargador

Processo:
0043004-61.2026.8.16.0000


Órgão Julgador: 12ª Câmara Cível
Data Julgamento: 27/07/2026
Segredo de Justiça"
Not found,Not informed,Not informed,Not informed,Not informed,Not informed,No date,No date,"2. Caso: Favela Nova Brasília Vs. Brasil (Sentença da Corte IDH)

Data Julgamento: 16/02/2017
i"
